서울시 기준일,서울시 확진자,서울시 추가 확진,,,,,,,,전국 기준일,전국 확진,전국 추가 확진
2022121600,5478664,12402,,,,,,,,2022121600,28062679,66953
2022121500,5466262,12830,,,,,,,,2022121500,27995726,70154
2022121400,5453432,15180,,,,,,,,2022121400,27925572,84571
2022121300,5438252,17696,,,,,,,,2022121300,27841001,86852
2022121200,5420556,3910,,,,,,,,2022121200,27754149,25667
2022121100,5416646,9603,,,,,,,,2022121100,27728482,54319
2022121000,5407043,11690,,,,,,,,2022121000,27674163,62738
2022120900,5395385,11853,,,,,,,,2022120900,27611555,62734
2022120800,5385302,11977,,,,,,,,2022120800,27548821,65253
2022120700,5371555,13747,,,,,,,,2022120700,27483568,74714
2022120600,5357808,16372,,,,,,,,2022120600,27408854,77604
2022120500,5341436,3921,,,,,,,,2022120500,27331250,23160
2022120400,5337515,8526,,,,,,,,2022120400,27308090,46564
2022120300,5328989,10369,,,,,,,,2022120300,27261526,52861
2022120200,5318646,10487,,,,,,,,2022120200,27208800,52987
2022120100,5308159,11034,,,,,,,,2022120100,27155813,57079
2022113000,5297125,12290,,,,,,,,2022113000,27098734,67415
2022112900,5284835,15501,,,,,,,,2022112900,27031319,71476
2022112800,5269334,3794,,,,,,,,2022112800,26959843,22327
2022112700,5265540,9160,,,,,,,,2022112700,26937516,47028
2022112600,5256380,10161,,,,,,,,2022112600,26890488,52788
2022112500,5246245,10684,,,,,,,,2022112500,26837840,53698
2022112400,5235561,11456,,,,,,,,2022112400,26784142,59089
2022112300,5224105,13499,,,,,,,,2022112300,26725053,70324
2022112200,5210606,15613,,,,,,,,2022112200,26654729,72873
2022112100,5194993,3826,,,,,,,,2022112100,26581856,23091
2022112000,5191167,8804,,,,,,,,2022112000,26558765,46011
2022111900,5182363,10124,,,,,,,,2022111900,26512754,50589
2022111800,5172272,9742,,,,,,,,2022111800,26462319,49418
2022111700,5162530,10846,,,,,,,,2022111700,26412901,55437
2022111600,5151684,12483,,,,,,,,2022111600,26357464,66587
2022111500,5139201,15539,,,,,,,,2022111500,26290877,72883
2022111400,5123662,3649,,,,,,,,2022111400,26217994,23765
2022111300,5120013,9263,,,,,,,,2022111300,26194229,48465
2022111200,5110750,10836,,,,,,,,2022111200,26145764,54328
2022111100,5099934,10903,,,,,,,,2022111100,26091539,54519
2022111000,5089031,11073,,,,,,,,2022111000,26037020,55365
2022110900,5077958,12481,,,,,,,,2022110900,25981655,62472
2022110800,5065477,14158,,,,,,,,2022110800,25919183,62273
2022110700,5051319,3320,,,,,,,,2022110700,25856910,18671
2022110600,5047999,7163,,,,,,,,2022110600,25838239,36675
2022110500,5040836,8104,,,,,,,,2022110500,25801564,40903
2022110400,5032737,8677,,,,,,,,2022110400,25760701,43449
2022110300,5024068,9547,,,,,,,,2022110300,25717277,46896
2022110200,5014526,10940,,,,,,,,2022110200,25670407,54766
2022110100,5003593,13017,,,,,,,,2022110100,25615667,58379
2022103100,4990582,3099,,,,,,,,2022103100,25557309,18510
2022103000,4987483,6708,,,,,,,,2022103000,25538799,34511
2022102900,4980775,7578,,,,,,,,2022102900,25504288,37321
2022102800,4973197,7480,,,,,,,,2022102800,25466992,35924
2022102700,4965729,6848,,,,,,,,2022102700,25431105,34987
2022102600,4958897,7906,,,,,,,,2022102600,25396155,40842
2022102500,4951008,10066,,,,,,,,2022102500,25355350,43759
2022102400,4940956,2438,,,,,,,,2022102400,25311636,14302
2022102300,4938518,5176,,,,,,,,2022102300,25297334,26256
2022102200,4933342,6016,,,,,,,,2022102200,25271078,26906
2022102100,4927337,5061,,,,,,,,2022102100,25244255,24751
2022102000,4922285,5416,,,,,,,,2022102000,25219546,25431
2022101900,4916878,5897,,,,,,,,2022101900,25194177,29503
2022101800,4910983,7531,,,,,,,,2022101800,25164695,33248
2022101700,4903463,1921,,,,,,,,2022101700,25131505,11040
2022101600,4901542,4191,,,,,,,,2022101600,25120465,21469
2022101500,4897351,4579,,,,,,,,2022101500,25098996,22844
2022101400,4892777,4834,,,,,,,,2022101400,25076239,23583
2022101300,4887950,5254,,,,,,,,2022101300,25052677,26957
2022101200,4882697,6802,,,,,,,,2022101200,25025749,30535
